0.611977607,31.6227766,-18,26,20,1,72,77,1500
1.21658299,22.6715681,-15,17,24,1,81,70,2500
0.822862338,12.20655562,-10,-7,13,1,109,56,2000
0.954214648,26.92582404,25,10,14,3,85,77,500
1.595094103,13.34166406,3,-13,18,1,61,31,2500
1.571331359,22.36067977,-22,4,13,1,55,35,2500
0.895465599,29.15475947,27,11,24,2,49,54,2000
0.897138129,31.06444913,-31,2,27,2,44,57,1500
0.789865082,27.51363298,-26,-9,23,1,52,49,2000
0.857229886,29.73213749,20,22,26,2,52,44,2500
0.859409713,29.68164416,-16,25,25,2,87,20,1000
0.867532825,27.89265136,-7,-27,21,2,42,56,2000
1.34034516,28,28,0,21,1,108,40,500
1.363240953,18.38477631,-7,17,11,1,62,33,1500
0.886618745,26.92582404,10,-25,28,2,89,20,2000
0.863206882,23.85372088,-13,-20,21,2,72,94,1000
0.88521567,26.90724809,20,18,19,2,87,56,500
0.854408684,27.29468813,-4,-27,22,2,88,85,500
1.28557186,22.02271555,-17,14,25,1,81,86,500
1.2505259,13.89244399,-12,-7,20,1,94,90,500
0.854481535,29,0,-29,30,2,56,21,1000
0.876838416,22.82542442,20,-11,21,2,64,48,500
0.850265827,23.34523506,4,-23,11,2,94,78,1500
1.525910509,19.02629759,-1,19,11,1,108,21,500
0.950518516,22.36067977,-22,-4,16,3,104,45,1000
0.86863744,21.37755833,-4,21,30,2,103,60,2500
0.803396149,8.544003745,-8,3,26,1,63,100,2000
0.897683851,22.09072203,-22,-2,12,2,60,41,500
0.896620171,15,-12,9,16,1,85,18,1500
1.141994861,31.25699922,31,-4,24,1,70,69,500
0.616987995,18.68154169,5,18,14,1,41,69,1500
0.945858945,14.86606875,10,11,19,1,92,77,2500
0.955827117,18.60107524,15,11,23,1,42,29,1500
0.879714543,27.89265136,-7,-27,17,2,77,91,2000
0.956602311,27.29468813,-24,13,30,3,44,87,1000
1.29478282,31.89043744,24,21,15,1,98,79,2000
1.397683325,7.071067812,-1,7,23,1,109,95,1000
1.38448037,17.08800749,-6,16,14,1,55,45,1500
0.868941558,8.246211251,-2,-8,29,2,100,24,2000
0.968985289,28.65309756,25,14,20,3,79,89,2500
0.880773854,29.15475947,27,-11,22,2,77,46,1500
0.952179901,13.60147051,13,4,30,3,40,71,1000
1.193647115,29.54657341,-27,12,14,1,109,68,1000
0.883347127,5.830951895,3,-5,26,2,85,57,1500
0.875632487,9.219544457,-6,7,27,2,82,52,500
0.967398215,21.21320344,-3,21,19,3,97,66,1500
0.886835548,30.41381265,-5,30,28,2,71,22,1000
0.893769437,27.31300057,-25,11,11,2,107,86,500
0.876579173,18.02775638,1,18,25,2,109,73,2500
0.890066535,27.07397274,-27,2,16,2,94,24,1000
0.960355734,31.144823,-3,-31,16,3,61,51,500
0.963295538,29.06888371,-19,-22,13,3,60,99,1500
0.858078702,30.01666204,26,15,20,2,97,31,2000
1.039730486,23.40939982,-8,-22,22,1,92,49,500
0.668881782,23.32380758,20,-12,19,1,89,78,500
0.9521947,17.02938637,-11,13,20,3,84,31,500
0.87394117,25.96150997,7,25,18,2,110,81,1500
1.108781966,23.19482701,3,-23,14,1,67,57,1000
